field,geography,year,dataType,nMissing,fractionMissing,isMedian,isTotal,isHousehold,isFamily
x2006_Census_age_in_five_year_groups_for_the_census_usually_resident_population_count_1_55_59_Years, Region,2006, Int64,0,0, false, false, false, false
x2006_Census_age_in_five_year_groups_for_the_census_usually_resident_population_count_1_60_64_Years, Region,2006, Int64,0,0, false, false, false, false
x2006_Census_age_in_five_year_groups_for_the_census_usually_resident_population_count_1_65_years_and_Over, Region,2006, Int64,0,0, false, false, false, false
x2006_Census_age_in_five_year_groups_for_the_census_usually_resident_population_count_1_Total_people, Region,2006, Int64,0,0, false, true, false, false
x2006_Census_age_in_five_year_groups_for_the_census_usually_resident_population_count_1_Median_Age_3_, Region,2006, Float64,0,0, true, false, false, false
x2013_Census_age_in_five_year_groups_for_the_census_usually_resident_population_count_1_0_4_Years, Region,2013, Int64,0,0, false, false, false, false
x2013_Census_age_in_five_year_groups_for_the_census_usually_resident_population_count_1_5_9_Years, Region,2013, Int64,0,0, false, false, false, false
x2013_Census_age_in_five_year_groups_for_the_census_usually_resident_population_count_1_10_14_Years, Region,2013, Int64,0,0, false, false, false, false
x2013_Census_age_in_five_year_groups_for_the_census_usually_resident_population_count_1_15_19_Years, Region,2013, Int64,0,0, false, false, false, false
x2013_Census_age_in_five_year_groups_for_the_census_usually_resident_population_count_1_20_24_Years, Region,2013, Int64,0,0, false, false, false, false
x2013_Census_age_in_five_year_groups_for_the_census_usually_resident_population_count_1_25_29_Years, Region,2013, Int64,0,0, false, false, false, false
x2013_Census_age_in_five_year_groups_for_the_census_usually_resident_population_count_1_30_34_Years, Region,2013, Int64,0,0, false, false, false, false
x2013_Census_age_in_five_year_groups_for_the_census_usually_resident_population_count_1_35_39_Years, Region,2013, Int64,0,0, false, false, false, false
x2013_Census_age_in_five_year_groups_for_the_census_usually_resident_population_count_1_40_44_Years, Region,2013, Int64,0,0, false, false, false, false
x2013_Census_age_in_five_year_groups_for_the_census_usually_resident_population_count_1_45_49_Years, Region,2013, Int64,0,0, false, false, false, false
x2013_Census_age_in_five_year_groups_for_the_census_usually_resident_population_count_1_50_54_Years, Region,2013, Int64,0,0, false, false, false, false
x2013_Census_age_in_five_year_groups_for_the_census_usually_resident_population_count_1_55_59_Years, Region,2013, Int64,0,0, false, false, false, false
x2013_Census_age_in_five_year_groups_for_the_census_usually_resident_population_count_1_60_64_Years, Region,2013, Int64,0,0, false, false, false, false
x2013_Census_age_in_five_year_groups_for_the_census_usually_resident_population_count_1_65_years_and_Over, Region,2013, Int64,0,0, false, false, false, false
x2013_Census_age_in_five_year_groups_for_the_census_usually_resident_population_count_1_Total_people, Region,2013, Int64,0,0, false, true, false, false
x2013_Census_age_in_five_year_groups_for_the_census_usually_resident_population_count_1_Median_Age_3_, Region,2013, Float64,0,0, true, false, false, false
x2001_Census_age_in_broad_groups_for_the_census_usually_resident_population_count_1_Under_15_years, Region,2001, Int64,0,0, false, false, false, false
x2001_Census_age_in_broad_groups_for_the_census_usually_resident_population_count_1_15_64_Years, Region,2001, Int64,0,0, false, false, false, false
x2001_Census_age_in_broad_groups_for_the_census_usually_resident_population_count_1_65_years_and_Over, Region,2001, Int64,0,0, false, false, false, false
x2001_Census_age_in_broad_groups_for_the_census_usually_resident_population_count_1_Total_people, Region,2001, Int64,0,0, false, true, false, false
x2006_Census_age_in_broad_groups_for_the_census_usually_resident_population_count_1_Under_15_years, Region,2006, Int64,0,0, false, false, false, false
x2006_Census_age_in_broad_groups_for_the_census_usually_resident_population_count_1_15_64_Years, Region,2006, Int64,0,0, false, false, false, false
x2006_Census_age_in_broad_groups_for_the_census_usually_resident_population_count_1_65_years_and_Over, Region,2006, Int64,0,0, false, false, false, false
x2006_Census_age_in_broad_groups_for_the_census_usually_resident_population_count_1_Total_people, Region,2006, Int64,0,0, false, true, false, false
x2013_Census_age_in_broad_groups_for_the_census_usually_resident_population_count_1_Under_15_years, Region,2013, Int64,0,0, false, false, false, false
x2013_Census_age_in_broad_groups_for_the_census_usually_resident_population_count_1_15_64_Years, Region,2013, Int64,0,0, false, false, false, false
x2013_Census_age_in_broad_groups_for_the_census_usually_resident_population_count_1_65_years_and_Over, Region,2013, Int64,0,0, false, false, false, false
x2013_Census_age_in_broad_groups_for_the_census_usually_resident_population_count_1_Total_people, Region,2013, Int64,0,0, false, true, false, false
x2001_Census_years_at_usual_residence_for_the_census_usually_resident_population_count_1_0_Years, Region,2001, Int64,0,0, false, false, false, false
x2001_Census_years_at_usual_residence_for_the_census_usually_resident_population_count_1_1_4_Years, Region,2001, Int64,0,0, false, false, false, false
x2001_Census_years_at_usual_residence_for_the_census_usually_resident_population_count_1_5_9_Years, Region,2001, Int64,0,0, false, false, false, false
x2001_Census_years_at_usual_residence_for_the_census_usually_resident_population_count_1_10_14_Years, Region,2001, Int64,0,0, false, false, false, false
x2001_Census_years_at_usual_residence_for_the_census_usually_resident_population_count_1_15_29_Years, Region,2001, Int64,0,0, false, false, false, false
x2001_Census_years_at_usual_residence_for_the_census_usually_resident_population_count_1_30_Years_or_More, Region,2001, Int64,0,0, false, false, false, false
x2001_Census_years_at_usual_residence_for_the_census_usually_resident_population_count_1_Total_people_stated, Region,2001, Int64,0,0, false, true, false, false
x2001_Census_years_at_usual_residence_for_the_census_usually_resident_population_count_1_Not_Elsewhere_Included_4_, Region,2001, Int64,0,0, false, false, false, false
x2001_Census_years_at_usual_residence_for_the_census_usually_resident_population_count_1_Total_people, Region,2001, Int64,0,0, false, true, false, false
x2006_Census_years_at_usual_residence_for_the_census_usually_resident_population_count_1_0_Years, Region,2006, Int64,0,0, false, false, false, false
x2006_Census_years_at_usual_residence_for_the_census_usually_resident_population_count_1_1_4_Years, Region,2006, Int64,0,0, false, false, false, false
x2006_Census_years_at_usual_residence_for_the_census_usually_resident_population_count_1_5_9_Years, Region,2006, Int64,0,0, false, false, false, false
x2006_Census_years_at_usual_residence_for_the_census_usually_resident_population_count_1_10_14_Years, Region,2006, Int64,0,0, false, false, false, false
x2006_Census_years_at_usual_residence_for_the_census_usually_resident_population_count_1_15_29_Years, Region,2006, Int64,0,0, false, false, false, false
x2006_Census_years_at_usual_residence_for_the_census_usually_resident_population_count_1_30_Years_or_More, Region,2006, Int64,0,0, false, false, false, false
x2006_Census_years_at_usual_residence_for_the_census_usually_resident_population_count_1_Total_people_stated, Region,2006, Int64,0,0, false, true, false, false
x2006_Census_years_at_usual_residence_for_the_census_usually_resident_population_count_1_Not_Elsewhere_Included_4_, Region,2006, Int64,0,0, false, false, false, false
x2006_Census_years_at_usual_residence_for_the_census_usually_resident_population_count_1_Total_people, Region,2006, Int64,0,0, false, true, false, false
x2013_Census_years_at_usual_residence_for_the_census_usually_resident_population_count_1_0_Years, Region,2013, Int64,0,0, false, false, false, false
x2013_Census_years_at_usual_residence_for_the_census_usually_resident_population_count_1_1_4_Years, Region,2013, Int64,0,0, false, false, false, false
x2013_Census_years_at_usual_residence_for_the_census_usually_resident_population_count_1_5_9_Years, Region,2013, Int64,0,0, false, false, false, false
x2013_Census_years_at_usual_residence_for_the_census_usually_resident_population_count_1_10_14_Years, Region,2013, Int64,0,0, false, false, false, false
x2013_Census_years_at_usual_residence_for_the_census_usually_resident_population_count_1_15_29_Years, Region,2013, Int64,0,0, false, false, false, false
x2013_Census_years_at_usual_residence_for_the_census_usually_resident_population_count_1_30_Years_or_More, Region,2013, Int64,0,0, false, false, false, false
x2013_Census_years_at_usual_residence_for_the_census_usually_resident_population_count_1_Total_people_stated, Region,2013, Int64,0,0, false, true, false, false
x2013_Census_years_at_usual_residence_for_the_census_usually_resident_population_count_1_Not_Elsewhere_Included_4_, Region,2013, Int64,0,0, false, false, false, false
x2013_Census_years_at_usual_residence_for_the_census_usually_resident_population_count_1_Total_people, Region,2013, Int64,0,0, false, true, false, false
x2013_Census_usual_residence_five_years_ago_2008_indicator_for_the_census_usually_resident_population_count_1_Same_as_Usual_Residence, Region,2013, Int64,0,0, false, false, false, false
x2013_Census_usual_residence_five_years_ago_2008_indicator_for_the_census_usually_resident_population_count_1_Elsewhere_in_New_Zealand, Region,2013, Int64,0,0, false, false, false, false
x2013_Census_usual_residence_five_years_ago_2008_indicator_for_the_census_usually_resident_population_count_1_Not_Born_Five_Years_Ago, Region,2013, Int64,0,0, false, false, false, false
x2013_Census_usual_residence_five_years_ago_2008_indicator_for_the_census_usually_resident_population_count_1_Overseas, Region,2013, Int64,0,0, false, false, false, false
x2013_Census_usual_residence_five_years_ago_2008_indicator_for_the_census_usually_resident_population_count_1_No_Fixed_Abode_Five_Years_Ago, Region,2013, Int64,0,0, false, false, false, false
x2013_Census_usual_residence_five_years_ago_2008_indicator_for_the_census_usually_resident_population_count_1_Total_people_stated, Region,2013, Int64,0,0, false, true, false, false
x2013_Census_usual_residence_five_years_ago_2008_indicator_for_the_census_usually_resident_population_count_1_Not_Elsewhere_Included, Region,2013, Int64,0,0, false, false, false, false
x2013_Census_usual_residence_five_years_ago_2008_indicator_for_the_census_usually_resident_population_count_1_Total_people, Region,2013, Int64,0,0, false, true, false, false
x2001_Census_birthplace_for_the_census_usually_resident_population_count_1_NZ_born, Region,2001, Int64,0,0, false, false, false, false
x2001_Census_birthplace_for_the_census_usually_resident_population_count_1_Overseas_born, Region,2001, Int64,0,0, false, false, false, false
x2001_Census_birthplace_for_the_census_usually_resident_population_count_1_Total_people_stated, Region,2001, Int64,0,0, false, true, false, false
x2001_Census_birthplace_for_the_census_usually_resident_population_count_1_Not_Elsewhere_Included_5_, Region,2001, Int64,0,0, false, false, false, false
x2001_Census_birthplace_for_the_census_usually_resident_population_count_1_Total_people, Region,2001, Int64,0,0, false, true, false, false
x2006_Census_birthplace_for_the_census_usually_resident_population_count_1_NZ_born, Region,2006, Int64,0,0, false, false, false, false
x2006_Census_birthplace_for_the_census_usually_resident_population_count_1_Overseas_born, Region,2006, Int64,0,0, false, false, false, false
x2006_Census_birthplace_for_the_census_usually_resident_population_count_1_Total_people_stated, Region,2006, Int64,0,0, false, true, false, false
x2006_Census_birthplace_for_the_census_usually_resident_population_count_1_Not_Elsewhere_Included_5_, Region,2006, Int64,0,0, false, false, false, false
x2006_Census_birthplace_for_the_census_usually_resident_population_count_1_Total_people, Region,2006, Int64,0,0, false, true, false, false
x2013_Census_birthplace_for_the_census_usually_resident_population_count_1_NZ_born, Region,2013, Int64,0,0, false, false, false, false
x2013_Census_birthplace_for_the_census_usually_resident_population_count_1_Overseas_born, Region,2013, Int64,0,0, false, false, false, false
x2013_Census_birthplace_for_the_census_usually_resident_population_count_1_Total_people_stated, Region,2013, Int64,0,0, false, true, false, false
x2013_Census_birthplace_for_the_census_usually_resident_population_count_1_Not_Elsewhere_Included_5_, Region,2013, Int64,0,0, false, false, false, false
x2013_Census_birthplace_for_the_census_usually_resident_population_count_1_Total_people, Region,2013, Int64,0,0, false, true, false, false
x2001_Census_years_since_arrival_in_New_Zealand_for_the_overseas_born_census_usually_resident_population_count_1_0_9_Years, Region,2001, Int64,0,0, false, false, false, false
x2001_Census_years_since_arrival_in_New_Zealand_for_the_overseas_born_census_usually_resident_population_count_1_10_19_Years, Region,2001, Int64,0,0, false, false, false, false
x2001_Census_years_since_arrival_in_New_Zealand_for_the_overseas_born_census_usually_resident_population_count_1_20_29_Years, Region,2001, Int64,0,0, false, false, false, false
x2001_Census_years_since_arrival_in_New_Zealand_for_the_overseas_born_census_usually_resident_population_count_1_30_39_Years, Region,2001, Int64,0,0, false, false, false, false
x2001_Census_years_since_arrival_in_New_Zealand_for_the_overseas_born_census_usually_resident_population_count_1_40_49_Years, Region,2001, Int64,0,0, false, false, false, false
x2001_Census_years_since_arrival_in_New_Zealand_for_the_overseas_born_census_usually_resident_population_count_1_50_Years_or_More, Region,2001, Int64,0,0, false, false, false, false
x2001_Census_years_since_arrival_in_New_Zealand_for_the_overseas_born_census_usually_resident_population_count_1_Total_people_stated, Region,2001, Int64,0,0, false, true, false, false
x2001_Census_years_since_arrival_in_New_Zealand_for_the_overseas_born_census_usually_resident_population_count_1_Not_Elsewhere_Included_6_, Region,2001, Int64,0,0, false, false, false, false
x2001_Census_years_since_arrival_in_New_Zealand_for_the_overseas_born_census_usually_resident_population_count_1_Total_people, Region,2001, Int64,0,0, false, true, false, false
x2006_Census_years_since_arrival_in_New_Zealand_for_the_overseas_born_census_usually_resident_population_count_1_0_9_Years, Region,2006, Int64,0,0, false, false, false, false
x2006_Census_years_since_arrival_in_New_Zealand_for_the_overseas_born_census_usually_resident_population_count_1_10_19_Years, Region,2006, Int64,0,0, false, false, false, false
x2006_Census_years_since_arrival_in_New_Zealand_for_the_overseas_born_census_usually_resident_population_count_1_20_29_Years, Region,2006, Int64,0,0, false, false, false, false
x2006_Census_years_since_arrival_in_New_Zealand_for_the_overseas_born_census_usually_resident_population_count_1_30_39_Years, Region,2006, Int64,0,0, false, false, false, false
x2006_Census_years_since_arrival_in_New_Zealand_for_the_overseas_born_census_usually_resident_population_count_1_40_49_Years, Region,2006, Int64,0,0, false, false, false, false
x2006_Census_years_since_arrival_in_New_Zealand_for_the_overseas_born_census_usually_resident_population_count_1_50_Years_or_More, Region,2006, Int64,0,0, false, false, false, false
x2006_Census_years_since_arrival_in_New_Zealand_for_the_overseas_born_census_usually_resident_population_count_1_Total_people_stated, Region,2006, Int64,0,0, false, true, false, false
x2006_Census_years_since_arrival_in_New_Zealand_for_the_overseas_born_census_usually_resident_population_count_1_Not_Elsewhere_Included_6_, Region,2006, Int64,0,0, false, false, false, false
x2006_Census_years_since_arrival_in_New_Zealand_for_the_overseas_born_census_usually_resident_population_count_1_Total_people, Region,2006, Int64,0,0, false, true, false, false
x2013_Census_years_since_arrival_in_New_Zealand_for_the_overseas_born_census_usually_resident_population_count_1_0_9_Years, Region,2013, Int64,0,0, false, false, false, false
x2013_Census_years_since_arrival_in_New_Zealand_for_the_overseas_born_census_usually_resident_population_count_1_10_19_Years, Region,2013, Int64,0,0, false, false, false, false
x2013_Census_years_since_arrival_in_New_Zealand_for_the_overseas_born_census_usually_resident_population_count_1_20_29_Years, Region,2013, Int64,0,0, false, false, false, false
x2013_Census_years_since_arrival_in_New_Zealand_for_the_overseas_born_census_usually_resident_population_count_1_30_39_Years, Region,2013, Int64,0,0, false, false, false, false
x2013_Census_years_since_arrival_in_New_Zealand_for_the_overseas_born_census_usually_resident_population_count_1_40_49_Years, Region,2013, Int64,0,0, false, false, false, false
x2013_Census_years_since_arrival_in_New_Zealand_for_the_overseas_born_census_usually_resident_population_count_1_50_Years_or_More, Region,2013, Int64,0,0, false, false, false, false
x2013_Census_years_since_arrival_in_New_Zealand_for_the_overseas_born_census_usually_resident_population_count_1_Total_people_stated, Region,2013, Int64,0,0, false, true, false, false
x2013_Census_years_since_arrival_in_New_Zealand_for_the_overseas_born_census_usually_resident_population_count_1_Not_Elsewhere_Included_6_, Region,2013, Int64,0,0, false, false, false, false
x2013_Census_years_since_arrival_in_New_Zealand_for_the_overseas_born_census_usually_resident_population_count_1_Total_people, Region,2013, Int64,0,0, false, true, false, false
x2001_Census_ethnic_group_grouped_total_responses_7_8_for_the_census_usually_resident_population_count_1_European, Region,2001, Int64,0,0, false, true, false, false
x2001_Census_ethnic_group_grouped_total_responses_7_8_for_the_census_usually_resident_population_count_1_Maori, Region,2001, Int64,0,0, false, true, false, false
x2001_Census_ethnic_group_grouped_total_responses_7_8_for_the_census_usually_resident_population_count_1_Pacific_Peoples, Region,2001, Int64,0,0, false, true, false, false
x2001_Census_ethnic_group_grouped_total_responses_7_8_for_the_census_usually_resident_population_count_1_Asian, Region,2001, Int64,0,0, false, true, false, false
x2001_Census_ethnic_group_grouped_total_responses_7_8_for_the_census_usually_resident_population_count_1_MELAA_9_, Region,2001, Int64,0,0, false, true, false, false
x2001_Census_ethnic_group_grouped_total_responses_7_8_for_the_census_usually_resident_population_count_1_Other_10_, Region,2001, Int64,0,0, false, true, false, false
x2001_Census_ethnic_group_grouped_total_responses_7_8_for_the_census_usually_resident_population_count_1_Total_people_stated, Region,2001, Int64,0,0, false, true, false, false
x2001_Census_ethnic_group_grouped_total_responses_7_8_for_the_census_usually_resident_population_count_1_Not_Elsewhere_Included, Region,2001, Int64,0,0, false, true, false, false
x2001_Census_ethnic_group_grouped_total_responses_7_8_for_the_census_usually_resident_population_count_1_Total_people, Region,2001, Int64,0,0, false, true, false, false
x2006_Census_ethnic_group_grouped_total_responses_7_8_for_the_census_usually_resident_population_count_1_European, Region,2006, Int64,0,0, false, true, false, false
x2006_Census_ethnic_group_grouped_total_responses_7_8_for_the_census_usually_resident_population_count_1_Maori, Region,2006, Int64,0,0, false, true, false, false
x2006_Census_ethnic_group_grouped_total_responses_7_8_for_the_census_usually_resident_population_count_1_Pacific_Peoples, Region,2006, Int64,0,0, false, true, false, false
x2006_Census_ethnic_group_grouped_total_responses_7_8_for_the_census_usually_resident_population_count_1_Asian, Region,2006, Int64,0,0, false, true, false, false
x2006_Census_ethnic_group_grouped_total_responses_7_8_for_the_census_usually_resident_population_count_1_MELAA_9_, Region,2006, Int64,0,0, false, true, false, false
x2006_Census_ethnic_group_grouped_total_responses_7_8_for_the_census_usually_resident_population_count_1_Other_10_, Region,2006, Int64,0,0, false, true, false, false
x2006_Census_ethnic_group_grouped_total_responses_7_8_for_the_census_usually_resident_population_count_1_Total_people_stated, Region,2006, Int64,0,0, false, true, false, false
x2006_Census_ethnic_group_grouped_total_responses_7_8_for_the_census_usually_resident_population_count_1_Not_Elsewhere_Included, Region,2006, Int64,0,0, false, true, false, false
x2006_Census_ethnic_group_grouped_total_responses_7_8_for_the_census_usually_resident_population_count_1_Total_people, Region,2006, Int64,0,0, false, true, false, false
x2013_Census_ethnic_group_grouped_total_responses_7_8_for_the_census_usually_resident_population_count_1_European, Region,2013, Int64,0,0, false, true, false, false
x2013_Census_ethnic_group_grouped_total_responses_7_8_for_the_census_usually_resident_population_count_1_Maori, Region,2013, Int64,0,0, false, true, false, false
x2013_Census_ethnic_group_grouped_total_responses_7_8_for_the_census_usually_resident_population_count_1_Pacific_Peoples, Region,2013, Int64,0,0, false, true, false, false
x2013_Census_ethnic_group_grouped_total_responses_7_8_for_the_census_usually_resident_population_count_1_Asian, Region,2013, Int64,0,0, false, true, false, false
x2013_Census_ethnic_group_grouped_total_responses_7_8_for_the_census_usually_resident_population_count_1_MELAA_9_, Region,2013, Int64,0,0, false, true, false, false
x2013_Census_ethnic_group_grouped_total_responses_7_8_for_the_census_usually_resident_population_count_1_Other_10_, Region,2013, Int64,0,0, false, true, false, false
x2013_Census_ethnic_group_grouped_total_responses_7_8_for_the_census_usually_resident_population_count_1_Total_people_stated, Region,2013, Int64,0,0, false, true, false, false
x2013_Census_ethnic_group_grouped_total_responses_7_8_for_the_census_usually_resident_population_count_1_Not_Elsewhere_Included, Region,2013, Int64,0,0, false, true, false, false
x2013_Census_ethnic_group_grouped_total_responses_7_8_for_the_census_usually_resident_population_count_1_Total_people, Region,2013, Int64,0,0, false, true, false, false
x2001_Census_six_languages_total_responses_11_for_the_census_usually_resident_population_count_1_English, Region,2001, Int64,0,0, false, true, false, false
x2001_Census_six_languages_total_responses_11_for_the_census_usually_resident_population_count_1_Maori, Region,2001, Int64,0,0, false, true, false, false
x2001_Census_six_languages_total_responses_11_for_the_census_usually_resident_population_count_1_Samoan, Region,2001, Int64,0,0, false, true, false, false
x2001_Census_six_languages_total_responses_11_for_the_census_usually_resident_population_count_1_NZ_Sign_Language, Region,2001, Int64,0,0, false, true, false, false
x2001_Census_six_languages_total_responses_11_for_the_census_usually_resident_population_count_1_Other, Region,2001, Int64,0,0, false, true, false, false
x2001_Census_six_languages_total_responses_11_for_the_census_usually_resident_population_count_1_None_eg_too_young_to_talk_13_, Region,2001, Int64,0,0, false, true, false, false
x2001_Census_six_languages_total_responses_11_for_the_census_usually_resident_population_count_1_Total_people_stated, Region,2001, Int64,0,0, false, true, false, false
x2001_Census_six_languages_total_responses_11_for_the_census_usually_resident_population_count_1_Not_Elsewhere_Included_12_, Region,2001, Int64,0,0, false, true, false, false
x2001_Census_six_languages_total_responses_11_for_the_census_usually_resident_population_count_1_Total_people, Region,2001, Int64,0,0, false, true, false, false
x2006_Census_six_languages_total_responses_11_for_the_census_usually_resident_population_count_1_English, Region,2006, Int64,0,0, false, true, false, false
x2006_Census_six_languages_total_responses_11_for_the_census_usually_resident_population_count_1_Maori, Region,2006, Int64,0,0, false, true, false, false
x2006_Census_six_languages_total_responses_11_for_the_census_usually_resident_population_count_1_Samoan, Region,2006, Int64,0,0, false, true, false, false
x2006_Census_six_languages_total_responses_11_for_the_census_usually_resident_population_count_1_NZ_Sign_Language, Region,2006, Int64,0,0, false, true, false, false
x2006_Census_six_languages_total_responses_11_for_the_census_usually_resident_population_count_1_Other, Region,2006, Int64,0,0, false, true, false, false
x2006_Census_six_languages_total_responses_11_for_the_census_usually_resident_population_count_1_None_eg_too_young_to_talk_13_, Region,2006, Int64,0,0, false, true, false, false
x2006_Census_six_languages_total_responses_11_for_the_census_usually_resident_population_count_1_Total_people_stated, Region,2006, Int64,0,0, false, true, false, false
x2006_Census_six_languages_total_responses_11_for_the_census_usually_resident_population_count_1_Not_Elsewhere_Included_12_, Region,2006, Int64,0,0, false, true, false, false
x2006_Census_six_languages_total_responses_11_for_the_census_usually_resident_population_count_1_Total_people, Region,2006, Int64,0,0, false, true, false, false
x2013_Census_six_languages_total_responses_11_for_the_census_usually_resident_population_count_1_English, Region,2013, Int64,0,0, false, true, false, false
x2013_Census_six_languages_total_responses_11_for_the_census_usually_resident_population_count_1_Maori, Region,2013, Int64,0,0, false, true, false, false
x2013_Census_six_languages_total_responses_11_for_the_census_usually_resident_population_count_1_Samoan, Region,2013, Int64,0,0, false, true, false, false
x2013_Census_six_languages_total_responses_11_for_the_census_usually_resident_population_count_1_NZ_Sign_Language, Region,2013, Int64,0,0, false, true, false, false
x2013_Census_six_languages_total_responses_11_for_the_census_usually_resident_population_count_1_Other, Region,2013, Int64,0,0, false, true, false, false
x2013_Census_six_languages_total_responses_11_for_the_census_usually_resident_population_count_1_None_eg_too_young_to_talk_13_, Region,2013, Int64,0,0, false, true, false, false
x2013_Census_six_languages_total_responses_11_for_the_census_usually_resident_population_count_1_Total_people_stated, Region,2013, Int64,0,0, false, true, false, false
x2013_Census_six_languages_total_responses_11_for_the_census_usually_resident_population_count_1_Not_Elsewhere_Included_12_, Region,2013, Int64,0,0, false, true, false, false
