index,field,geography,year,dataType,nMissing,fractionMissing,isMedian,isTotal,isHousehold,isFamily,min,mean,max
26,x2001_Census_age_in_five_year_groups_for_the_census_usually_resident_population_count_1_35_39_Years,Region,2001,Int64,0,0,false,false,false,false,57,17497.9411764706,98169
27,x2001_Census_age_in_five_year_groups_for_the_census_usually_resident_population_count_1_40_44_Years,Region,2001,Int64,0,0,false,false,false,false,63,16801.2352941176,89070
28,x2001_Census_age_in_five_year_groups_for_the_census_usually_resident_population_count_1_45_49_Years,Region,2001,Int64,0,0,false,false,false,false,48,14810.8235294118,77103
29,x2001_Census_age_in_five_year_groups_for_the_census_usually_resident_population_count_1_50_54_Years,Region,2001,Int64,0,0,false,false,false,false,60,13892.2941176471,70875
30,x2001_Census_age_in_five_year_groups_for_the_census_usually_resident_population_count_1_55_59_Years,Region,2001,Int64,0,0,false,false,false,false,36,10721.2941176471,53208
31,x2001_Census_age_in_five_year_groups_for_the_census_usually_resident_population_count_1_60_64_Years,Region,2001,Int64,0,0,false,false,false,false,30,9091.9411764706,42816
32,x2001_Census_age_in_five_year_groups_for_the_census_usually_resident_population_count_1_65_years_and_Over,Region,2001,Int64,0,0,false,false,false,false,42,26495.2941176471,115848
33,x2001_Census_age_in_five_year_groups_for_the_census_usually_resident_population_count_1_Total_people,Region,2001,Int64,0,0,false,true,false,false,726,219839.470588235,1160271
34,x2001_Census_age_in_five_year_groups_for_the_census_usually_resident_population_count_1_Median_Age_3_,Region,2001,Float64,0,0,true,false,false,false,32.7,35.8588235294,39.4
35,x2006_Census_age_in_five_year_groups_for_the_census_usually_resident_population_count_1_0_4_Years,Region,2006,Int64,0,0,false,false,false,false,51,16180.9411764706,94077
36,x2006_Census_age_in_five_year_groups_for_the_census_usually_resident_population_count_1_5_9_Years,Region,2006,Int64,0,0,false,false,false,false,51,16852.2352941176,95325
37,x2006_Census_age_in_five_year_groups_for_the_census_usually_resident_population_count_1_10_14_Years,Region,2006,Int64,0,0,false,false,false,false,36,18000.1764705882,99711
38,x2006_Census_age_in_five_year_groups_for_the_census_usually_resident_population_count_1_15_19_Years,Region,2006,Int64,0,0,false,false,false,false,30,17659.0588235294,99444
39,x2006_Census_age_in_five_year_groups_for_the_census_usually_resident_population_count_1_20_24_Years,Region,2006,Int64,0,0,false,false,false,false,36,15940.0588235294,99057
40,x2006_Census_age_in_five_year_groups_for_the_census_usually_resident_population_count_1_25_29_Years,Region,2006,Int64,0,0,false,false,false,false,30,14261.1176470588,89883
41,x2006_Census_age_in_five_year_groups_for_the_census_usually_resident_population_count_1_30_34_Years,Region,2006,Int64,0,0,false,false,false,false,60,16268.1176470588,98769
42,x2006_Census_age_in_five_year_groups_for_the_census_usually_resident_population_count_1_35_39_Years,Region,2006,Int64,0,0,false,false,false,false,69,17738.4705882353,105231
43,x2006_Census_age_in_five_year_groups_for_the_census_usually_resident_population_count_1_40_44_Years,Region,2006,Int64,0,0,false,false,false,false,54,18452.8235294118,105471
44,x2006_Census_age_in_five_year_groups_for_the_census_usually_resident_population_count_1_45_49_Years,Region,2006,Int64,0,0,false,false,false,false,42,17260.0588235294,92994
45,x2006_Census_age_in_five_year_groups_for_the_census_usually_resident_population_count_1_50_54_Years,Region,2006,Int64,0,0,false,false,false,false,42,14866.2352941176,76905
46,x2006_Census_age_in_five_year_groups_for_the_census_usually_resident_population_count_1_55_59_Years,Region,2006,Int64,0,0,false,false,false,false,39,13739.4705882353,68292
47,x2006_Census_age_in_five_year_groups_for_the_census_usually_resident_population_count_1_60_64_Years,Region,2006,Int64,0,0,false,false,false,false,27,10565.8235294118,51255
48,x2006_Census_age_in_five_year_groups_for_the_census_usually_resident_population_count_1_65_years_and_Over,Region,2006,Int64,0,0,false,false,false,false,51,29153.1176470588,128541
49,x2006_Census_age_in_five_year_groups_for_the_census_usually_resident_population_count_1_Total_people,Region,2006,Int64,0,0,false,true,false,false,621,236938.058823529,1304961
50,x2006_Census_age_in_five_year_groups_for_the_census_usually_resident_population_count_1_Median_Age_3_,Region,2006,Float64,0,0,true,false,false,false,33.9,37.5470588235,41.7
51,x2013_Census_age_in_five_year_groups_for_the_census_usually_resident_population_count_1_0_4_Years,Region,2013,Int64,0,0,false,false,false,false,39,17179.2352941176,102357
52,x2013_Census_age_in_five_year_groups_for_the_census_usually_resident_population_count_1_5_9_Years,Region,2013,Int64,0,0,false,false,false,false,54,16868.2941176471,97593
53,x2013_Census_age_in_five_year_groups_for_the_census_usually_resident_population_count_1_10_14_Years,Region,2013,Int64,0,0,false,false,false,false,33,16872.3529411765,96405
54,x2013_Census_age_in_five_year_groups_for_the_census_usually_resident_population_count_1_15_19_Years,Region,2013,Int64,0,0,false,false,false,false,24,17397.7058823529,102918
55,x2013_Census_age_in_five_year_groups_for_the_census_usually_resident_population_count_1_20_24_Years,Region,2013,Int64,0,0,false,false,false,false,36,17099.2941176471,108222
56,x2013_Census_age_in_five_year_groups_for_the_census_usually_resident_population_count_1_25_29_Years,Region,2013,Int64,0,0,false,false,false,false,33,15184.4117647059,99939
57,x2013_Census_age_in_five_year_groups_for_the_census_usually_resident_population_count_1_30_34_Years,Region,2013,Int64,0,0,false,false,false,false,30,15091.4117647059,98541
58,x2013_Census_age_in_five_year_groups_for_the_census_usually_resident_population_count_1_35_39_Years,Region,2013,Int64,0,0,false,false,false,false,39,15736.7647058824,95538
59,x2013_Census_age_in_five_year_groups_for_the_census_usually_resident_population_count_1_40_44_Years,Region,2013,Int64,0,0,false,false,false,false,51,17985.7058823529,106218
60,x2013_Census_age_in_five_year_groups_for_the_census_usually_resident_population_count_1_45_49_Years,Region,2013,Int64,0,0,false,false,false,false,45,17742.8823529412,102381
61,x2013_Census_age_in_five_year_groups_for_the_census_usually_resident_population_count_1_50_54_Years,Region,2013,Int64,0,0,false,false,false,false,66,17646.5294117647,95112
62,x2013_Census_age_in_five_year_groups_for_the_census_usually_resident_population_count_1_55_59_Years,Region,2013,Int64,0,0,false,false,false,false,45,15305.2941176471,78960
63,x2013_Census_age_in_five_year_groups_for_the_census_usually_resident_population_count_1_60_64_Years,Region,2013,Int64,0,0,false,false,false,false,39,13715.2941176471,68208
64,x2013_Census_age_in_five_year_groups_for_the_census_usually_resident_population_count_1_65_years_and_Over,Region,2013,Int64,0,0,false,false,false,false,72,35707.9411764706,163155
65,x2013_Census_age_in_five_year_groups_for_the_census_usually_resident_population_count_1_Total_people,Region,2013,Int64,0,0,false,true,false,false,600,249532.235294118,1415550
66,x2013_Census_age_in_five_year_groups_for_the_census_usually_resident_population_count_1_Median_Age_3_,Region,2013,Float64,0,0,true,false,false,false,35.1,40.2882352941,45
67,x2001_Census_age_in_broad_groups_for_the_census_usually_resident_population_count_1_Under_15_years,Region,2001,Int64,0,0,false,false,false,false,177,49867.4117647059,266202
68,x2001_Census_age_in_broad_groups_for_the_census_usually_resident_population_count_1_15_64_Years,Region,2001,Int64,0,0,false,false,false,false,504,143477.117647059,778224
69,x2001_Census_age_in_broad_groups_for_the_census_usually_resident_population_count_1_65_years_and_Over,Region,2001,Int64,0,0,false,false,false,false,42,26495.8235294118,115848
70,x2001_Census_age_in_broad_groups_for_the_census_usually_resident_population_count_1_Total_people,Region,2001,Int64,0,0,false,true,false,false,726,219839.470588235,1160271
71,x2006_Census_age_in_broad_groups_for_the_census_usually_resident_population_count_1_Under_15_years,Region,2006,Int64,0,0,false,false,false,false,141,51033.7058823529,289110
72,x2006_Census_age_in_broad_groups_for_the_census_usually_resident_population_count_1_15_64_Years,Region,2006,Int64,0,0,false,false,false,false,426,156750.882352941,887304
73,x2006_Census_age_in_broad_groups_for_the_census_usually_resident_population_count_1_65_years_and_Over,Region,2006,Int64,0,0,false,false,false,false,54,29153.1176470588,128544
74,x2006_Census_age_in_broad_groups_for_the_census_usually_resident_population_count_1_Total_people,Region,2006,Int64,0,0,false,true,false,false,621,236938.058823529,1304961
75,x2013_Census_age_in_broad_groups_for_the_census_usually_resident_population_count_1_Under_15_years,Region,2013,Int64,0,0,false,false,false,false,120,50919.7058823529,296355
76,x2013_Census_age_in_broad_groups_for_the_census_usually_resident_population_count_1_15_64_Years,Region,2013,Int64,0,0,false,false,false,false,405,162905.117647059,956040
77,x2013_Census_age_in_broad_groups_for_the_census_usually_resident_population_count_1_65_years_and_Over,Region,2013,Int64,0,0,false,false,false,false,72,35708.1176470588,163155
78,x2013_Census_age_in_broad_groups_for_the_census_usually_resident_population_count_1_Total_people,Region,2013,Int64,0,0,false,true,false,false,600,249532.235294118,1415550
79,x2001_Census_years_at_usual_residence_for_the_census_usually_resident_population_count_1_0_Years,Region,2001,Int64,0,0,false,false,false,false,117,50686.4117647059,278697
80,x2001_Census_years_at_usual_residence_for_the_census_usually_resident_population_count_1_1_4_Years,Region,2001,Int64,0,0,false,false,false,false,177,65155.7647058824,362832
81,x2001_Census_years_at_usual_residence_for_the_census_usually_resident_population_count_1_5_9_Years,Region,2001,Int64,0,0,false,false,false,false,138,37684.4117647059,191832
82,x2001_Census_years_at_usual_residence_for_the_census_usually_resident_population_count_1_10_14_Years,Region,2001,Int64,0,0,false,false,false,false,81,22487.1176470588,108867
83,x2001_Census_years_at_usual_residence_for_the_census_usually_resident_population_count_1_15_29_Years,Region,2001,Int64,0,0,false,false,false,false,93,22994.1176470588,107925
84,x2001_Census_years_at_usual_residence_for_the_census_usually_resident_population_count_1_30_Years_or_More,Region,2001,Int64,0,0,false,false,false,false,51,10204.2352941176,42579
85,x2001_Census_years_at_usual_residence_for_the_census_usually_resident_population_count_1_Total_people_stated,Region,2001,Int64,0,0,false,true,false,false,657,209211,1092729
86,x2001_Census_years_at_usual_residence_for_the_census_usually_resident_population_count_1_Not_Elsewhere_Included_4_,Region,2001,Int64,0,0,false,false,false,false,69,10629,67542
87,x2001_Census_years_at_usual_residence_for_the_census_usually_resident_population_count_1_Total_people,Region,2001,Int64,0,0,false,true,false,false,723,219839.823529412,1160271
88,x2006_Census_years_at_usual_residence_for_the_census_usually_resident_population_count_1_0_Years,Region,2006,Int64,0,0,false,false,false,false,111,54857.6470588235,305472
89,x2006_Census_years_at_usual_residence_for_the_census_usually_resident_population_count_1_1_4_Years,Region,2006,Int64,0,0,false,false,false,false,132,72781.7647058824,415902
90,x2006_Census_years_at_usual_residence_for_the_census_usually_resident_population_count_1_5_9_Years,Region,2006,Int64,0,0,false,false,false,false,102,38444.2941176471,217551
91,x2006_Census_years_at_usual_residence_for_the_census_usually_resident_population_count_1_10_14_Years,Region,2006,Int64,0,0,false,false,false,false,72,21073.9411764706,107373
92,x2006_Census_years_at_usual_residence_for_the_census_usually_resident_population_count_1_15_29_Years,Region,2006,Int64,0,0,false,false,false,false,96,24297,118092
93,x2006_Census_years_at_usual_residence_for_the_census_usually_resident_population_count_1_30_Years_or_More,Region,2006,Int64,0,0,false,false,false,false,42,9945,42150
94,x2006_Census_years_at_usual_residence_for_the_census_usually_resident_population_count_1_Total_people_stated,Region,2006,Int64,0,0,false,true,false,false,555,221398.235294118,1206534
95,x2006_Census_years_at_usual_residence_for_the_census_usually_resident_population_count_1_Not_Elsewhere_Included_4_,Region,2006,Int64,0,0,false,false,false,false,66,15539.8235294118,98424
96,x2006_Census_years_at_usual_residence_for_the_census_usually_resident_population_count_1_Total_people,Region,2006,Int64,0,0,false,true,false,false,618,236937.882352941,1304958
97,x2013_Census_years_at_usual_residence_for_the_census_usually_resident_population_count_1_0_Years,Region,2013,Int64,0,0,false,false,false,false,105,51876.3529411765,297267
98,x2013_Census_years_at_usual_residence_for_the_census_usually_resident_population_count_1_1_4_Years,Region,2013,Int64,0,0,false,false,false,false,135,69782.4705882353,409962
99,x2013_Census_years_at_usual_residence_for_the_census_usually_resident_population_count_1_5_9_Years,Region,2013,Int64,0,0,false,false,false,false,108,48341.1176470588,274977
100,x2013_Census_years_at_usual_residence_for_the_census_usually_resident_population_count_1_10_14_Years,Region,2013,Int64,0,0,false,false,false,false,51,25367.1176470588,143694
101,x2013_Census_years_at_usual_residence_for_the_census_usually_resident_population_count_1_15_29_Years,Region,2013,Int64,0,0,false,false,false,false,117,26683.7647058824,139896
102,x2013_Census_years_at_usual_residence_for_the_census_usually_resident_population_count_1_30_Years_or_More,Region,2013,Int64,0,0,false,false,false,false,66,10887,47889
103,x2013_Census_years_at_usual_residence_for_the_census_usually_resident_population_count_1_Total_people_stated,Region,2013,Int64,0,0,false,true,false,false,576,232938.352941176,1313688
104,x2013_Census_years_at_usual_residence_for_the_census_usually_resident_population_count_1_Not_Elsewhere_Included_4_,Region,2013,Int64,0,0,false,false,false,false,24,16594.4117647059,101865
105,x2013_Census_years_at_usual_residence_for_the_census_usually_resident_population_count_1_Total_people,Region,2013,Int64,0,0,false,true,false,false,603,249532.411764706,1415550
106,x2013_Census_usual_residence_five_years_ago_2008_indicator_for_the_census_usually_resident_population_count_1_Same_as_Usual_Residence,Region,2013,Int64,0,0,false,false,false,false,303,103655.647058824,566430
107,x2013_Census_usual_residence_five_years_ago_2008_indicator_for_the_census_usually_resident_population_count_1_Elsewhere_in_New_Zealand,Region,2013,Int64,0,0,false,false,false,false,207,89389.5882352941,485634
108,x2013_Census_usual_residence_five_years_ago_2008_indicator_for_the_census_usually_resident_population_count_1_Not_Born_Five_Years_Ago,Region,2013,Int64,0,0,false,false,false,false,39,17179.4117647059,102357
109,x2013_Census_usual_residence_five_years_ago_2008_indicator_for_the_census_usually_resident_population_count_1_Overseas,Region,2013,Int64,0,0,false,false,false,false,12,16749.7058823529,131799
110,x2013_Census_usual_residence_five_years_ago_2008_indicator_for_the_census_usually_resident_population_count_1_No_Fixed_Abode_Five_Years_Ago,Region,2013,Int64,0,0,false,false,false,false,0,51.7058823529,168
111,x2013_Census_usual_residence_five_years_ago_2008_indicator_for_the_census_usually_resident_population_count_1_Total_people_stated,Region,2013,Int64,0,0,false,true,false,false,561,227025.176470588,1286391
112,x2013_Census_usual_residence_five_years_ago_2008_indicator_for_the_census_usually_resident_population_count_1_Not_Elsewhere_Included,Region,2013,Int64,0,0,false,false,false,false,42,22507.0588235294,129159
113,x2013_Census_usual_residence_five_years_ago_2008_indicator_for_the_census_usually_resident_population_count_1_Total_people,Region,2013,Int64,0,0,false,true,false,false,600,249532.058823529,1415550
114,x2001_Census_birthplace_for_the_census_usually_resident_population_count_1_NZ_born,Region,2001,Int64,0,0,false,false,false,false,639,170051.117647059,750372
115,x2001_Census_birthplace_for_the_census_usually_resident_population_count_1_Overseas_born,Region,2001,Int64,0,0,false,false,false,false,30,41095.9411764706,354357
116,x2001_Census_birthplace_for_the_census_usually_resident_population_count_1_Total_people_stated,Region,2001,Int64,0,0,false,true,false,false,669,211147.058823529,1104729
117,x2001_Census_birthplace_for_the_census_usually_resident_population_count_1_Not_Elsewhere_Included_5_,Region,2001,Int64,0,0,false,false,false,false,57,8693.1176470588,55542
118,x2001_Census_birthplace_for_the_census_usually_resident_population_count_1_Total_people,Region,2001,Int64,0,0,false,true,false,false,723,219839.823529412,1160271
119,x2006_Census_birthplace_for_the_census_usually_resident_population_count_1_NZ_born,Region,2006,Int64,0,0,false,false,false,false,552,174130.235294118,777942
120,x2006_Census_birthplace_for_the_census_usually_resident_population_count_1_Overseas_born,Region,2006,Int64,0,0,false,false,false,false,24,51737.6470588235,456378
121,x2006_Census_birthplace_for_the_census_usually_resident_population_count_1_Total_people_stated,Region,2006,Int64,0,0,false,true,false,false,582,225868.411764706,1234317
122,x2006_Census_birthplace_for_the_census_usually_resident_population_count_1_Not_Elsewhere_Included_5_,Region,2006,Int64,0,0,false,false,false,false,39,11069.8235294118,70641
123,x2006_Census_birthplace_for_the_census_usually_resident_population_count_1_Total_people,Region,2006,Int64,0,0,false,true,false,false,621,236937.882352941,1304958
124,x2013_Census_birthplace_for_the_census_usually_resident_population_count_1_NZ_born,Region,2013,Int64,0,0,false,false,false,false,546,175342.411764706,805356
125,x2013_Census_birthplace_for_the_census_usually_resident_population_count_1_Overseas_born,Region,2013,Int64,0,0,false,false,false,false,33,58928.4705882353,517179
126,x2013_Census_birthplace_for_the_census_usually_resident_population_count_1_Total_people_stated,Region,2013,Int64,0,0,false,true,false,false,576,234271.588235294,1322535
127,x2013_Census_birthplace_for_the_census_usually_resident_population_count_1_Not_Elsewhere_Included_5_,Region,2013,Int64,0,0,false,false,false,false,24,15260.4705882353,93015
128,x2013_Census_birthplace_for_the_census_usually_resident_population_count_1_Total_people,Region,2013,Int64,0,0,false,true,false,false,600,249532.235294118,1415550
129,x2001_Census_years_since_arrival_in_New_Zealand_for_the_overseas_born_census_usually_resident_population_count_1_0_9_Years,Region,2001,Int64,0,0,false,false,false,false,9,16333.2352941176,165450
130,x2001_Census_years_since_arrival_in_New_Zealand_for_the_overseas_born_census_usually_resident_population_count_1_10_19_Years,Region,2001,Int64,0,0,false,false,false,false,3,6597.8823529412,61623
131,x2001_Census_years_since_arrival_in_New_Zealand_for_the_overseas_born_census_usually_resident_population_count_1_20_29_Years,Region,2001,Int64,0,0,false,false,false,false,6,5449.0588235294,42468
132,x2001_Census_years_since_arrival_in_New_Zealand_for_the_overseas_born_census_usually_resident_population_count_1_30_39_Years,Region,2001,Int64,0,0,false,false,false,false,6,4558.9411764706,30714
133,x2001_Census_years_since_arrival_in_New_Zealand_for_the_overseas_born_census_usually_resident_population_count_1_40_49_Years,Region,2001,Int64,0,0,false,false,false,false,3,3736.7647058824,21072
134,x2001_Census_years_since_arrival_in_New_Zealand_for_the_overseas_born_census_usually_resident_population_count_1_50_Years_or_More,Region,2001,Int64,0,0,false,false,false,false,3,2080.4117647059,12567
135,x2001_Census_years_since_arrival_in_New_Zealand_for_the_overseas_born_census_usually_resident_population_count_1_Total_people_stated,Region,2001,Int64,0,0,false,true,false,false,27,38755.7647058823,333897
136,x2001_Census_years_since_arrival_in_New_Zealand_for_the_overseas_born_census_usually_resident_population_count_1_Not_Elsewhere_Included_6_,Region,2001,Int64,0,0,false,false,false,false,0,2339.4705882353,20460
137,x2001_Census_years_since_arrival_in_New_Zealand_for_the_overseas_born_census_usually_resident_population_count_1_Total_people,Region,2001,Int64,0,0,false,true,false,false,27,41095.4117647059,354357
138,x2006_Census_years_since_arrival_in_New_Zealand_for_the_overseas_born_census_usually_resident_population_count_1_0_9_Years,Region,2006,Int64,0,0,false,false,false,false,12,24372.8823529412,237369
139,x2006_Census_years_since_arrival_in_New_Zealand_for_the_overseas_born_census_usually_resident_population_count_1_10_19_Years,Region,2006,Int64,0,0,false,false,false,false,6,8807.8235294118,87639
140,x2006_Census_years_since_arrival_in_New_Zealand_for_the_overseas_born_census_usually_resident_population_count_1_20_29_Years,Region,2006,Int64,0,0,false,false,false,false,0,3799.2352941177,30987
141,x2006_Census_years_since_arrival_in_New_Zealand_for_the_overseas_born_census_usually_resident_population_count_1_30_39_Years,Region,2006,Int64,0,0,false,false,false,false,3,5607.1764705882,39801
142,x2006_Census_years_since_arrival_in_New_Zealand_for_the_overseas_born_census_usually_resident_population_count_1_40_49_Years,Region,2006,Int64,0,0,false,false,false,false,3,3873.5294117647,23379
143,x2006_Census_years_since_arrival_in_New_Zealand_for_the_overseas_born_census_usually_resident_population_count_1_50_Years_or_More,Region,2006,Int64,0,0,false,false,false,false,0,3031.2352941177,16608
144,x2006_Census_years_since_arrival_in_New_Zealand_for_the_overseas_born_census_usually_resident_population_count_1_Total_people_stated,Region,2006,Int64,0,0,false,true,false,false,27,49492.2352941177,435780
145,x2006_Census_years_since_arrival_in_New_Zealand_for_the_overseas_born_census_usually_resident_population_count_1_Not_Elsewhere_Included_6_,Region,2006,Int64,0,0,false,false,false,false,0,2245.5882352941,20598
146,x2006_Census_years_since_arrival_in_New_Zealand_for_the_overseas_born_census_usually_resident_population_count_1_Total_people,Region,2006,Int64,0,0,false,true,false,false,24,51738,456378
147,x2013_Census_years_since_arrival_in_New_Zealand_for_the_overseas_born_census_usually_resident_population_count_1_0_9_Years,Region,2013,Int64,0,0,false,false,false,false,12,24268.4117647059,210771
148,x2013_Census_years_since_arrival_in_New_Zealand_for_the_overseas_born_census_usually_resident_population_count_1_10_19_Years,Region,2013,Int64,0,0,false,false,false,false,3,14176.0588235294,149295
149,x2013_Census_years_since_arrival_in_New_Zealand_for_the_overseas_born_census_usually_resident_population_count_1_20_29_Years,Region,2013,Int64,0,0,false,false,false,false,3,5486.6470588235,52377
150,x2013_Census_years_since_arrival_in_New_Zealand_for_the_overseas_born_census_usually_resident_population_count_1_30_39_Years,Region,2013,Int64,0,0,false,false,false,false,3,4466.1176470588,33342
151,x2013_Census_years_since_arrival_in_New_Zealand_for_the_overseas_born_census_usually_resident_population_count_1_40_49_Years,Region,2013,Int64,0,0,false,false,false,false,6,4148.1176470588,27180
152,x2013_Census_years_since_arrival_in_New_Zealand_for_the_overseas_born_census_usually_resident_population_count_1_50_Years_or_More,Region,2013,Int64,0,0,false,false,false,false,3,4104.8823529412,22938
153,x2013_Census_years_since_arrival_in_New_Zealand_for_the_overseas_born_census_usually_resident_population_count_1_Total_people_stated,Region,2013,Int64,0,0,false,true,false,false,30,56650.0588235294,495903
154,x2013_Census_years_since_arrival_in_New_Zealand_for_the_overseas_born_census_usually_resident_population_count_1_Not_Elsewhere_Included_6_,Region,2013,Int64,0,0,false,false,false,false,3,2279.2941176471,21279
155,x2013_Census_years_since_arrival_in_New_Zealand_for_the_overseas_born_census_usually_resident_population_count_1_Total_people,Region,2013,Int64,0,0,false,true,false,false,30,58928.2941176471,517179
156,x2001_Census_ethnic_group_grouped_total_responses_7_8_for_the_census_usually_resident_population_count_1_European,Region,2001,Int64,0,0,false,true,false,false,468,168907.588235294,755967
157,x2001_Census_ethnic_group_grouped_total_responses_7_8_for_the_census_usually_resident_population_count_1_Maori,Region,2001,Int64,0,0,false,true,false,false,390,30957.7058823529,127704
158,x2001_Census_ethnic_group_grouped_total_responses_7_8_for_the_census_usually_resident_population_count_1_Pacific_Peoples,Region,2001,Int64,0,0,false,true,false,false,12,13635.3529411765,154683
159,x2001_Census_ethnic_group_grouped_total_responses_7_8_for_the_census_usually_resident_population_count_1_Asian,Region,2001,Int64,0,0,false,true,false,false,6,14010.5294117647,151644
160,x2001_Census_ethnic_group_grouped_total_responses_7_8_for_the_census_usually_resident_population_count_1_MELAA_9_,Region,2001,Int64,0,0,false,true,false,false,0,1416.5294117647,13335
161,x2001_Census_ethnic_group_grouped_total_responses_7_8_for_the_census_usually_resident_population_count_1_Other_10_,Region,2001,Int64,0,0,false,true,false,false,0,46.9411764706,276
162,x2001_Census_ethnic_group_grouped_total_responses_7_8_for_the_census_usually_resident_population_count_1_Total_people_stated,Region,2001,Int64,0,0,false,true,false,false,666,210979.235294118,1102818
163,x2001_Census_ethnic_group_grouped_total_responses_7_8_for_the_census_usually_resident_population_count_1_Not_Elsewhere_Included,Region,2001,Int64,0,0,false,true,false,false,57,8860.7647058824,57453
164,x2001_Census_ethnic_group_grouped_total_responses_7_8_for_the_census_usually_resident_population_count_1_Total_people,Region,2001,Int64,0,0,false,true,false,false,723,219839.823529412,1160271
165,x2006_Census_ethnic_group_grouped_total_responses_7_8_for_the_census_usually_resident_population_count_1_European,Region,2006,Int64,0,0,false,true,false,false,381,153505.588235294,700158
166,x2006_Census_ethnic_group_grouped_total_responses_7_8_for_the_census_usually_resident_population_count_1_Maori,Region,2006,Int64,0,0,false,true,false,false,366,33254.8235294118,137304
167,x2006_Census_ethnic_group_grouped_total_responses_7_8_for_the_census_usually_resident_population_count_1_Pacific_Peoples,Region,2006,Int64,0,0,false,true,false,false,6,15645.3529411765,177948
168,x2006_Census_ethnic_group_grouped_total_responses_7_8_for_the_census_usually_resident_population_count_1_Asian,Region,2006,Int64,0,0,false,true,false,false,6,20856.1764705882,234279
169,x2006_Census_ethnic_group_grouped_total_responses_7_8_for_the_census_usually_resident_population_count_1_MELAA_9_,Region,2006,Int64,0,0,false,true,false,false,0,2043.8823529412,18561
170,x2006_Census_ethnic_group_grouped_total_responses_7_8_for_the_census_usually_resident_population_count_1_Other_10_,Region,2006,Int64,0,0,false,true,false,false,42,25345.5882352941,100110
171,x2006_Census_ethnic_group_grouped_total_responses_7_8_for_the_census_usually_resident_population_count_1_Total_people_stated,Region,2006,Int64,0,0,false,true,false,false,579,227068.588235294,1239051
